file_name,left,right,top,bottom,min_value,max_value,pixel_horiz,pixel_vert,number_of_nan
2324-443_reproject,-5207674.691083631,-5207075.218314592,-2702075.1162022124,-2702726.0036065523,-3.421358,40.15301,1097,1191,0
2324-452_reproject,-5205935.247882579,-5205335.79474094,-2701442.53170734,-2702093.3978009075,-1.9494873,35.553333,1097,1191,0
2324-262_reproject,-5204775.614618592,-5204176.252941746,-2698912.4179714588,-2699563.184755625,-1.5607322,59.610035,1097,1191,0
2324-424_reproject,-5205935.246115516,-5205335.816495171,-2700809.9687768053,-2701460.809331742,-1.668816,49.729317,1097,1191,0
2324-231_reproject,-5205313.180506946,-5204761.312632448,-2697648.0435890188,-2698298.361629432,-0.7426576,13.763096,1010,1190,0
2324-432_reproject,-5204775.627605872,-5204176.218920385,-2700177.4250895297,-2700828.2429141006,-3.3965702,52.206448,1097,1191,0
2324-362_reproject,-5208032.005871318,-5207655.346934259,-2701453.689407687,-2702042.766466228,0.0,32.992268,689,1077,0
2324-422_reproject,-5205935.245963865,-5205335.839858059,-2700177.4305255148,-2700828.2455491545,-3.3498363,18.811134,1097,1191,0
2324-423_reproject,-5206515.054649393,-5205915.626325294,-2700809.9658705285,-2701460.805018044,-3.3260353,18.924065,1097,1191,0
2324-412_reproject,-5206669.685522815,-5206508.24508598,-2700607.6064536925,-2700828.150508082,-3.4725733,14.77286,296,404,0
2324-433_reproject,-5205355.436343598,-5204756.005431569,-2700809.961439023,-2701460.8033964266,-9.518152,50.134483,1097,1191,0
2324-364_reproject,-5208254.498673268,-5207655.756116455,-2702141.467115189,-2702725.9929537573,-6.83926,27.062841,1096,1070,0
2324-451_reproject,-5206515.057497523,-5205915.6056521,-2701442.527572116,-2702093.392258295,-2.5032961,16.385126,1097,1191,0
2324-464_reproject,-5204775.626287721,-5204176.147038942,-2702075.1102619995,-2702726.0047018235,-0.8399066,46.44238,1097,1191,0
2324-431_reproject,-5205355.437268119,-5204756.029870599,-2700177.4219628195,-2700828.23838896,-3.2463942,40.36626,1097,1191,0
2324-354_reproject,-5209119.329319523,-5208814.76136981,-2702107.3482381213,-2702726.344251026,-2.9036524,18.42873,557,1131,0
2324-264_reproject,-5204775.620309068,-5204176.235131278,-2699544.9091980145,-2700195.7014987175,-4.707651,39.77722,1097,1191,0
2324-453_reproject,-5206515.061966034,-5205915.586592534,-2702075.1139600584,-2702726.004192235,-3.643622,32.500988,1097,1191,0
2324-413_reproject,-5207652.240191761,-5207079.655535119,-2701177.584141581,-2701460.8743577846,-1.7609652,27.042778,1050,520,0
2324-441_reproject,-5207674.684442582,-5207075.235201681,-2701442.5322826146,-2702093.3941408913,-3.067828,22.044468,1097,1191,0
2324-421_reproject,-5206515.05356181,-5205917.0495148795,-2700285.430528997,-2700828.225792802,-2.8152466,16.741251,1095,994,0
2324-233_reproject,-5205246.069013995,-5204755.829780063,-2698281.3128759465,-2698930.770432506,-1.2519029,31.194496,897,1188,0
2324-462_reproject,-5204775.625210434,-5204176.169489236,-2701442.5311645665,-2702093.400058934,-3.1954741,51.17349,1097,1191,0
2324-414_reproject,-5207094.87297977,-5206495.445956104,-2700809.9635492684,-2701460.8012848184,-2.5253775,18.17571,1097,1191,0
2324-232_reproject,-5204775.56458284,-5204176.24988711,-2697647.5209846087,-2698298.2367582573,-3.4151413,66.80606,1097,1191,0
2324-444_reproject,-5207094.871695128,-5206495.397621562,-2702075.12027548,-2702726.0090962322,-2.0805867,95.28136,1097,1191,0
2324-461_reproject,-5205355.437029642,-5204755.98259635,-2701442.525594451,-2702093.393090452,-2.562793,38.075233,1097,1191,0
2324-254_reproject,-5205814.639164896,-5205335.823946926,-2699546.4109188397,-2700195.9579631025,-2.6679077,37.20525,876,1188,0
2324-234_reproject,-5204775.61066782,-5204176.272484762,-2698279.9623662005,-2698930.7036416014,-1.1245215,20.6334,1097,1191,0
2324-434_reproject,-5204775.6256052945,-5204176.193405328,-2700809.9657874433,-2701460.8091432457,-2.756635,39.93608,1097,1191,0
2324-463_reproject,-5205355.439326378,-5204755.961365067,-2702075.114436198,-2702726.0074781314,-0.6499634,56.252182,1097,1191,0
2324-454_reproject,-5205935.251265178,-5205335.774595491,-2702075.1193242115,-2702726.0109637445,-3.3461754,75.00872,1097,1191,0
2324-442_reproject,-5207094.877044733,-5206495.426499305,-2701442.5349836876,-2702093.398258376,-1.8987329,39.413418,1097,1191,0
2324-252_reproject,-5205538.672304579,-5205341.377659053,-2699391.527233028,-2699563.135318056,-1.4930222,11.318674,362,315,0
2324-361_reproject,-5208795.630547925,-5208301.414633447,-2701790.6202396215,-2702092.6107376395,-2.6247413,14.494092,906,554,0
2324-263_reproject,-5205355.428900133,-5204756.045010339,-2699544.9072934333,-2700195.698195674,-6.263945,39.956043,1097,1191,0
2324-363_reproject,-5208834.315748903,-5208234.845600946,-2702075.121296783,-2702726.00585524,-2.5787525,19.222916,1097,1191,0
2324-261_reproject,-5205355.433045837,-5204756.072657048,-2698912.417154377,-2699563.1825400153,-2.6497614,45.844006,1097,1191,0
