Epoch: [0][122/236]	Time 1.190 (185.652)	Loss -1.6976 (-1.6080)
Epoch: [0][123/236]	Time 1.218 (186.870)	Loss -1.4695 (-1.6069)
Epoch: [0][124/236]	Time 1.211 (188.080)	Loss -1.5664 (-1.6066)
Epoch: [0][125/236]	Time 1.226 (189.306)	Loss -1.8661 (-1.6087)
Epoch: [0][126/236]	Time 1.189 (190.495)	Loss -1.6263 (-1.6088)
Epoch: [0][127/236]	Time 1.260 (191.755)	Loss -1.7189 (-1.6097)
Epoch: [0][128/236]	Time 1.228 (192.983)	Loss -1.5916 (-1.6095)
Epoch: [0][129/236]	Time 1.188 (194.171)	Loss -1.7641 (-1.6107)
Epoch: [0][130/236]	Time 1.191 (195.362)	Loss -1.4736 (-1.6097)
Epoch: [0][131/236]	Time 1.235 (196.597)	Loss -1.7380 (-1.6106)
Epoch: [0][132/236]	Time 1.218 (197.815)	Loss -1.7310 (-1.6115)
Epoch: [0][133/236]	Time 1.257 (199.072)	Loss -1.3717 (-1.6098)
Epoch: [0][134/236]	Time 1.206 (200.279)	Loss -1.2540 (-1.6071)
Epoch: [0][135/236]	Time 1.171 (201.449)	Loss -1.5068 (-1.6064)
Epoch: [0][136/236]	Time 1.185 (202.634)	Loss -1.5607 (-1.6060)
Epoch: [0][137/236]	Time 1.206 (203.840)	Loss -1.8283 (-1.6077)
Epoch: [0][138/236]	Time 1.244 (205.085)	Loss -1.5150 (-1.6070)
Epoch: [0][139/236]	Time 1.226 (206.311)	Loss -1.7573 (-1.6081)
Epoch: [0][140/236]	Time 1.298 (207.610)	Loss -1.6056 (-1.6080)
Epoch: [0][141/236]	Time 1.256 (208.866)	Loss -1.5022 (-1.6073)
Epoch: [0][142/236]	Time 1.245 (210.111)	Loss -1.5919 (-1.6072)
Epoch: [0][143/236]	Time 1.205 (211.316)	Loss -1.4948 (-1.6064)
Epoch: [0][144/236]	Time 1.187 (212.503)	Loss -1.7044 (-1.6071)
Epoch: [0][145/236]	Time 1.208 (213.711)	Loss -1.4104 (-1.6057)
Epoch: [0][146/236]	Time 1.223 (214.934)	Loss -1.7865 (-1.6070)
Epoch: [0][147/236]	Time 1.251 (216.185)	Loss -1.5785 (-1.6068)
Epoch: [0][148/236]	Time 1.254 (217.439)	Loss -1.8378 (-1.6083)
Epoch: [0][149/236]	Time 1.187 (218.626)	Loss -1.7594 (-1.6093)
Epoch: [0][150/236]	Time 1.214 (219.840)	Loss -1.4182 (-1.6081)
Epoch: [0][151/236]	Time 1.185 (221.026)	Loss -1.9246 (-1.6102)
Epoch: [0][152/236]	Time 1.221 (222.247)	Loss -1.7348 (-1.6110)
Epoch: [0][153/236]	Time 1.230 (223.477)	Loss -1.5013 (-1.6103)
Epoch: [0][154/236]	Time 1.194 (224.671)	Loss -1.4390 (-1.6092)
Epoch: [0][155/236]	Time 1.230 (225.901)	Loss -1.8454 (-1.6107)
Epoch: [0][156/236]	Time 1.347 (227.248)	Loss -1.3054 (-1.6087)
Epoch: [0][157/236]	Time 1.183 (228.431)	Loss -1.3635 (-1.6072)
Epoch: [0][158/236]	Time 1.206 (229.636)	Loss -1.8267 (-1.6086)
Epoch: [0][159/236]	Time 1.316 (230.952)	Loss -1.1980 (-1.6060)
Epoch: [0][160/236]	Time 1.200 (232.152)	Loss -1.5323 (-1.6055)
Epoch: [0][161/236]	Time 1.221 (233.373)	Loss -1.7707 (-1.6065)
Epoch: [0][162/236]	Time 1.336 (234.709)	Loss -1.3574 (-1.6050)
Epoch: [0][163/236]	Time 1.219 (235.928)	Loss -1.7982 (-1.6062)
Epoch: [0][164/236]	Time 1.189 (237.117)	Loss -1.7875 (-1.6073)
Epoch: [0][165/236]	Time 1.266 (238.383)	Loss -1.8009 (-1.6085)
Epoch: [0][166/236]	Time 1.200 (239.584)	Loss -1.5695 (-1.6082)
Epoch: [0][167/236]	Time 1.189 (240.773)	Loss -1.6489 (-1.6085)
Epoch: [0][168/236]	Time 1.182 (241.954)	Loss -1.5655 (-1.6082)
Epoch: [0][169/236]	Time 1.173 (243.127)	Loss -1.4937 (-1.6075)
Epoch: [0][170/236]	Time 1.211 (244.338)	Loss -1.3580 (-1.6061)
Epoch: [0][171/236]	Time 1.227 (245.565)	Loss -1.5981 (-1.6060)
Epoch: [0][172/236]	Time 1.236 (246.801)	Loss -1.5641 (-1.6058)
Epoch: [0][173/236]	Time 1.213 (248.015)	Loss -1.6529 (-1.6061)
Epoch: [0][174/236]	Time 1.185 (249.199)	Loss -1.4450 (-1.6051)
Epoch: [0][175/236]	Time 1.207 (250.406)	Loss -1.4868 (-1.6045)
Epoch: [0][176/236]	Time 1.203 (251.609)	Loss -1.5219 (-1.6040)
Epoch: [0][177/236]	Time 1.201 (252.810)	Loss -1.3305 (-1.6025)
Epoch: [0][178/236]	Time 1.165 (253.976)	Loss -1.5329 (-1.6021)
Epoch: [0][179/236]	Time 1.363 (255.339)	Loss -1.5412 (-1.6017)
Epoch: [0][180/236]	Time 1.389 (256.728)	Loss -1.6419 (-1.6020)
